State,Rank,Make/Model,Model Year,Thefts
Missouri,10,Toyota Camry,2014,236
Florida,6,Toyota Corolla,2014,914
Nebraska,2,Ford Pickup (Full Size),1999,168
South Carolina,8,Chevrolet Impala,2008,166
Arkansas,3,GMC Pickup (Full Size),1997,174
Kansas,1,Chevrolet Pickup (Full Size),1999,439
Maryland,8,Jeep Cherokee/Grand Cherokee,2015,194
Alabama,4,Nissan Altima,2014,191
Oklahoma,8,Chevrolet Pickup (Small Size),1998,127
Kentucky,2,Ford Pickup (Full Size),2001,241
Nevada,9,Toyota Corolla,2014,151
Indiana,2,Chevrolet Pickup (Full Size),1994,619
New York,4,Nissan Altima,2015,374
Oregon,10,Jeep Cherokee/Grand Cherokee,1994,141
Tennessee,3,Honda Accord,1996,267
North Dakota,10,Ford Taurus,1998,16
Wisconsin,2,Honda Civic,1998,470
Texas,5,GMC Pickup (Full Size),2015,1450
Minnesota,10,Acura Integra,1996,95
Wisconsin,5,Chevrolet Impala,2007,232
Alaska,10,Chevrolet Pickup (Small Size),1998,20
Washington,10,Nissan Sentra,1997,296
Alaska,2,Ford Pickup (Full Size),2004,95
North Dakota,9,Pontiac Grand Am,2000,17
Rhode Island,5,Toyota Corolla,2014,40
Montana,2,Ford Pickup (Full Size),1995,145
Nevada,10,Dodge Pickup (Full Size),2005,148
Alabama,3,Toyota Camry,2014,205
Missouri,5,Chevrolet Impala,2008,369
Wyoming,5,Toyota Camry,1997,9
Hawaii,8,Nissan Frontier,2004,44
Wyoming,6,GMC Yukon,2002,8
Pennsylvania,4,Toyota Camry,2014,269
Massachusetts,6,Ford Pickup (Full Size),2004,178
,,,,
Arizona,4,Ford Pickup (Full Size),2006,772
New York,9,Toyota Corolla,2010,280
Maryland,3,Toyota Camry,2014,347
Michigan,5,Dodge Charger,2015,477
South Carolina,1,Ford Pickup (Full Size),2006,586
West Virginia,4,Dodge Pickup (Full Size),2003,29
Tennessee,7,Honda Civic,2000,198
Minnesota,9,Toyota Corolla,2010,109
North Dakota,7,Jeep Cherokee/Grand Cherokee,1999,21
Vermont,4,Honda Civic,2005,6
New Jersey,2,Honda Civic,1998,753
Montana,8,Chevrolet Pickup (Small Size),1995,24
Indiana,7,Chevrolet Pickup (Small Size),1998,186
Virginia,8,Ford Explorer,2002,119
Vermont,2,Ford Pickup (Full Size),2010,8
Oregon,4,Ford Pickup (Full Size),2004,295
