State,Rank,Make/Model,Model Year,Thefts
Florida,10,Nissan Maxima,2014,479
Oklahoma,1,Chevrolet Pickup (Full Size),1994,1143
Pennsylvania,9,Jeep Cherokee/Grand Cherokee,1999,188
Kentucky,1,Chevrolet Pickup (Full Size),1998,250
Alabama,5,Honda Accord,1998,180
Texas,10,Chevrolet Impala,2007,898
New York,6,Ford Econoline E350,2011,339
Iowa,7,GMC Pickup (Full Size),2007,60
Idaho,3,Honda Accord,1996,66
West Virginia,1,Ford Pickup (Full Size),2003,87
Nevada,7,Nissan Altima,1997,207
South Dakota,6,Chevrolet Malibu,2003,20
California,2,Honda Civic,1998,28045
Louisiana,6,Nissan Altima,2014,215
Missouri,8,Ford Taurus,2002,250
Idaho,8,Ford Pickup (Small Size),1991,19
Maryland,4,Honda Civic,2012,313
New Jersey,3,Dodge Caravan,2002,427
Minnesota,6,Honda CR-V,1999,190
Massachusetts,5,Dodge Caravan,2005,188
South Dakota,5,GMC Pickup (Full Size),1994,22
Arizona,5,Dodge Pickup (Full Size),2001,428
Utah,6,Dodge Pickup (Full Size),2012,117
Mississippi,5,GMC Pickup (Full Size),2000,103
Connecticut,7,Toyota Corolla,1999,99
Illinois,10,Nissan Altima,2014,326
Vermont,5,Ford Pickup (Small Size),2002,5
District Of Columbia,6,Nissan Altima,2015,62
Maine,8,Chevrolet Cobalt,2005,7
Connecticut,2,Honda Civic,1998,532
Kentucky,5,Toyota Corolla,2014,110
Florida,4,Toyota Camry,2014,1089
Wyoming,6,Honda Accord,1997,8
Alaska,3,GMC Pickup (Full Size),1997,58
South Dakota,4,Honda Civic,1996,23
Idaho,1,Ford Pickup (Full Size),2004,108
Washington,9,Toyota Corolla,2010,332
Rhode Island,6,Nissan Altima,2013,38
Oregon,6,Chevrolet Pickup (Full Size),1999,217
Missouri,2,Chevrolet Pickup (Full Size),2000,783
Rhode Island,10,Toyota Avalon,2000,18
Wisconsin,8,Dodge Intrepid,2002,179
Maine,2,GMC Pickup (Full Size),1993,26
Connecticut,6,Jeep Cherokee/Grand Cherokee,2000,110
South Carolina,7,Dodge Pickup (Full Size),2001,172
Ohio,9,Toyota Camry,2014,308
California,4,Toyota Camry,1991,5345
Delaware,8,Toyota Corolla,2010,21
Arkansas,2,Ford Pickup (Full Size),2008,252
Vermont,5,Subaru Impreza,2002,5
Iowa,9,Dodge Caravan,2005,56
