State,Rank,Make/Model,Model Year,Thefts
Alaska,9,Ford Pickup (Small Size),2000,22
Idaho,2,Chevrolet Pickup (Full Size),1999,76
Arizona,10,Nissan Sentra,2014,200
New Jersey,5,Ford Pickup (Full Size),2006,295
Louisiana,1,Chevrolet Pickup (Full Size),2006,671
Alaska,5,Honda Accord,1993,46
Florida,2,Honda Civic,2000,1127
Rhode Island,9,Honda CR-V,1999,27
Utah,7,Subaru Impreza,1997,106
Ohio,3,Ford Pickup (Full Size),2004,540
District Of Columbia,3,Jeep Cherokee/Grand Cherokee,2001,109
South Carolina,5,Toyota Camry,2014,183
Oklahoma,9,Ford Explorer,2002,123
New York,3,Toyota Camry,2014,500
Oklahoma,10,Chevrolet Malibu,2009,119
Georgia,8,Dodge Pickup (Full Size),2003,452
South Dakota,7,Ford Taurus,2006,17
New Mexico,10,Chevrolet Impala,2005,90
Delaware,6,Honda CR-V,2001,23
Iowa,1,Chevrolet Pickup (Full Size),2002,258
New Jersey,4,Nissan Sentra,1998,340
Louisiana,10,Chevrolet Tahoe,2007,114
Oregon,2,Honda Civic,1998,1276
Wisconsin,8,Chevrolet Malibu,2015,179
Maryland,5,Ford Pickup (Full Size),2004,287
Mississippi,7,Honda Accord,2007,91
Kentucky,8,Ford Taurus,2002,94
Utah,5,Chevrolet Pickup (Full Size),2004,225
Texas,1,Ford Pickup (Full Size),2006,7897
Arizona,7,GMC Pickup (Full Size),2015,246
Kentucky,7,Ford Explorer,2000,99
New Hampshire,9,GMC Pickup (Full Size),2007,9
Massachusetts,9,Honda CR-V,1999,107
Illinois,6,Chevrolet Pickup (Full Size),1999,418
Georgia,3,Chevrolet Pickup (Full Size),1999,948
Michigan,4,Dodge Caravan,2003,528
Arizona,9,Jeep Cherokee/Grand Cherokee,1994,207
California,7,Toyota Corolla,2014,3339
Alaska,4,Honda Civic,2000,56
Washington,3,Ford Pickup (Full Size),2004,745
Illinois,8,Toyota Camry,2014,383
Michigan,6,Chevrolet Trailblazer,2007,462
New Hampshire,4,Ford Pickup (Full Size),2002,17
Oklahoma,2,Ford Pickup (Full Size),2004,780
Iowa,2,Ford Pickup (Full Size),2001,198
Nebraska,9,Toyota Camry,2000,49
Florida,5,Honda Accord,1997,1025
South Dakota,7,Chevrolet Pickup (Small Size),1997,17
Tennessee,8,Toyota Camry,2007,188
Georgia,2,Ford Pickup (Full Size),2006,954
Texas,6,Honda Civic,2000,1371
